"","PY","cite.1","cite.0","citing.group","cited.group","group"
"1",1990,0,0,"restoration","restoration","restoration:restoration"
"2",1991,0,1,"restoration","restoration","restoration:restoration"
"3",1992,5,4,"restoration","restoration","restoration:restoration"
"4",1993,2,8,"restoration","restoration","restoration:restoration"
"5",1994,1,10,"restoration","restoration","restoration:restoration"
"6",1995,11,23,"restoration","restoration","restoration:restoration"
"7",1996,29,35,"restoration","restoration","restoration:restoration"
"8",1997,43,38,"restoration","restoration","restoration:restoration"
"9",1998,37,37,"restoration","restoration","restoration:restoration"
"10",1999,56,26,"restoration","restoration","restoration:restoration"
"11",2000,69,40,"restoration","restoration","restoration:restoration"
"12",2001,76,43,"restoration","restoration","restoration:restoration"
"13",2002,104,44,"restoration","restoration","restoration:restoration"
"14",2003,129,31,"restoration","restoration","restoration:restoration"
"15",2004,134,59,"restoration","restoration","restoration:restoration"
"16",2005,157,54,"restoration","restoration","restoration:restoration"
"17",2006,178,49,"restoration","restoration","restoration:restoration"
"18",2007,227,60,"restoration","restoration","restoration:restoration"
"19",2008,219,58,"restoration","restoration","restoration:restoration"
"20",2009,260,56,"restoration","restoration","restoration:restoration"
"21",2010,332,60,"restoration","restoration","restoration:restoration"
"22",2011,327,53,"restoration","restoration","restoration:restoration"
"23",2012,342,58,"restoration","restoration","restoration:restoration"
"24",2013,396,65,"restoration","restoration","restoration:restoration"
"25",2014,364,70,"restoration","restoration","restoration:restoration"
"26",2015,402,70,"restoration","restoration","restoration:restoration"
"27",2016,451,70,"restoration","restoration","restoration:restoration"
"28",2017,407,64,"restoration","restoration","restoration:restoration"
"29",1990,0,0,"restoration","conservation","restoration:conservation"
"30",1991,0,1,"restoration","conservation","restoration:conservation"
"31",1992,5,4,"restoration","conservation","restoration:conservation"
"32",1993,2,8,"restoration","conservation","restoration:conservation"
"33",1994,1,10,"restoration","conservation","restoration:conservation"
"34",1995,5,29,"restoration","conservation","restoration:conservation"
"35",1996,16,48,"restoration","conservation","restoration:conservation"
"36",1997,16,65,"restoration","conservation","restoration:conservation"
