"","restoration","conservation","climatechange","invasion"
"acta amazonica",1,7,4,0
"acta oecologica-international journal of ecology",26,66,39,108
"african journal of ecology",13,137,12,24
"african journal of range & forage science",5,6,4,9
"african journal of wildlife research",0,47,1,3
"agriculture ecosystems & environment",80,314,173,28
"amazoniana-limnologia et oecologia regionalis systemae fluminis amazonas",0,0,0,1
"american midland naturalist",26,33,1,49
"american naturalist",3,66,48,112
"animal conservation",23,330,22,53
"annales zoologici fennici",1,12,3,13
"annual review of ecology evolution and systematics",3,27,4,13
"applied ecology and environmental research",12,35,55,19
"applied vegetation science",231,101,25,78
"aquatic ecology",12,9,17,48
"aquatic ecosystem health & management",10,19,9,9
"aquatic invasions",2,8,6,281
"aquatic microbial ecology",1,0,9,0
"arthropod-plant interactions",1,6,6,25
"austral ecology",39,105,60,158
"avian conservation and ecology",0,18,3,1
"basic and applied ecology",48,76,27,74
"behavioral ecology",0,18,8,32
"behavioral ecology and sociobiology",0,11,11,18
"biochemical systematics and ecology",3,129,3,26
"biodiversity and conservation",125,1522,104,148
"biogeosciences",11,4,39,5
"biological conservation",345,2653,216,345
"biological invasions",50,72,61,2107
"biology letters",5,56,107,58
"biotropica",42,150,32,53
"bmc ecology",2,8,13,18
"bosque",18,22,6,13
"bulletin of the peabody museum of natural history",0,2,1,3
"canadian field-naturalist",5,35,10,27
"chemistry and ecology",3,4,5,3
"chemoecology",0,2,0,15
"colonial waterbirds",2,14,0,0
"community ecology",6,23,7,14
"compost science & utilization",2,1,0,2
"conservation biology",109,1416,119,179
"conservation physiology",1,35,22,16
"contemporary problems of ecology",1,2,10,8
"current opinion in insect science",1,4,10,1
"diversity and distributions",16,375,142,465
"ecography",6,40,50,64
"ecohealth",2,34,30,16
"ecohydrology",36,9,66,15
"ecological applications",281,458,236,319
"ecological complexity",3,17,18,15
"ecological economics",43,303,211,57
"ecological engineering",605,93,57,55
"ecological informatics",7,28,30,24
"ecological management & restoration",33,11,2,6
"ecological modelling",58,136,250,118
"ecological monographs",4,17,55,29
"ecological research",22,50,39,58
"ecology",43,127,284,421
"ecology and evolution",27,198,225,204
