"","x"
"acta amazonica",146
"acta oecologica-international journal of ecology",1799
"african journal of ecology",1576
"african journal of range & forage science",181
"african journal of wildlife research",343
"agriculture ecosystems & environment",4544
"amazoniana-limnologia et oecologia regionalis systemae fluminis amazonas",160
"american midland naturalist",2082
"american naturalist",4099
"animal conservation",1055
"annales zoologici fennici",793
"annual review of ecology evolution and systematics",323
"applied ecology and environmental research",578
"applied vegetation science",837
"aquatic ecology",688
"aquatic ecosystem health & management",307
"aquatic invasions",415
"aquatic microbial ecology",1753
"arthropod-plant interactions",487
"austral ecology",1972
"avian conservation and ecology",123
"basic and applied ecology",1083
"behavioral ecology",3358
"behavioral ecology and sociobiology",4092
"biochemical systematics and ecology",3198
"biodiversity and conservation",3745
"biogeosciences",3463
"biological conservation",6745
"biological invasions",2574
"biology letters",2471
"biotropica",2197
"bmc ecology",214
"bosque",305
"bulletin of the peabody museum of natural history",80
"canadian field-naturalist",1307
"chemistry and ecology",604
"chemoecology",556
"colonial waterbirds",303
"community ecology",325
"compost science & utilization",574
"conservation biology",4120
"conservation physiology",193
"contemporary problems of ecology",473
"current opinion in insect science",261
"diversity and distributions",1430
"ecography",2209
"ecohealth",518
"ecohydrology",778
"ecological applications",3885
"ecological complexity",523
"ecological economics",3875
"ecological engineering",3815
"ecological informatics",699
"ecological management & restoration",91
"ecological modelling",6003
"ecological monographs",730
"ecological research",1979
"ecology",7710
"ecology and evolution",3028
"ecology and society",1088
"ecology letters",2474
"eco mont-journal on protected mountain areas research",102
"ecoscience",1087
"ecosphere",1592
"ecosystems",1612
"ecosystem services",493
"ecotoxicology",1895
"ekologia-bratislava",339
"ekoloji",306
"environmental biology of fishes",2927
"european journal of soil biology",1004
"european journal of wildlife research",1100
"evolution",6322
"evolutionary ecology",1440
"evolutionary ecology research",1193
"fire ecology",159
"flora",1513
"freshwater biology",114
"freshwater science",1788
"frontiers in ecology and the environment",942
"functional ecology",3302
"fungal ecology",569
"global change biology",4354
"global ecology and biogeography",1565
"heredity",3449
"human-wildlife interactions",86
"interciencia",1315
"international journal of sustainable development and world ecology",835
"isme journal",1820
"israel journal of ecology & evolution",231
"journal for nature conservation",510
"journal of animal ecology",3003
"journal of applied ecology",3359
"journal of arid environments",3609
"journal of biogeography",3542
"journal of biological dynamics",99
"journal of chemical ecology",4663
"journal of ecology",2993
"journal of evolutionary biology",3844
"journal of experimental marine biology and ecology",5857
"journal of fish and wildlife management",273
"journal of freshwater ecology",1515
"journal of natural history",2279
"journal of plant ecology",434
"journal of plant interactions",371
"journal of soil and water conservation",1365
"journal of tropical ecology",1710
"journal of vegetation science",2473
"journal of wildlife management",4134
"landscape and ecological engineering",250
"landscape and urban planning",2381
"landscape ecology",2032
"marine biology research",1048
"marine ecology progress series",12830
"methods in ecology and evolution",937
"microbial ecology",2767
"molecular ecology",7382
"molecular ecology resources",3529
"natural areas journal",934
"nature ecology & evolution",177
"new zealand journal of ecology",699
"northeastern naturalist",816
"northwest environmental journal",47
"northwest science",833
"oecologia",8282
"ohio journal of science",230
"oikos",5600
"oryx",1192
"paleobiology",971
"pedobiologia",1103
"perspectives in plant ecology evolution and systematics",385
"phytocoenologia",414
"plant ecology",3120
"plant species biology",335
"polar biology",3442
"polar record",302
"polar research",531
"polar science",196
"polish journal of ecology",923
"polish polar research",218
"population ecology",930
"proceedings of the academy of natural sciences of philadelphia",181
"proceedings of the linnean society of new south wales",120
"rangeland ecology & management",2321
"rangeland journal",534
"regional studies in marine science",94
"restoration ecology",1728
"revista chilena de historia natural",942
"revue d ecologie-la terre et la vie",575
"russian journal of ecology",902
"southeastern naturalist",973
"southwestern naturalist",1872
"texas journal of science",486
"theoretical ecology",309
"theoretical population biology",1380
"trends in ecology & evolution",3018
"tropical ecology",314
"urban ecosystems",516
"vie et milieu-life and environment",502
"western north american naturalist",1069
"wetlands",2105
"wildlife biology",857
"wildlife monographs",33
"wildlife research",1815
