"","restoration","conservation","climatechange","invasion","x"
"Acta Amazonica",0.00684931506849315,0.0479452054794521,0.0273972602739726,0,146
"Acta Oecologica International Journal Of Ecology",0.0144524735964425,0.0366870483602001,0.0216787103946637,0.0600333518621456,1799
"African Journal Of Ecology",0.00824873096446701,0.0869289340101523,0.00761421319796954,0.0152284263959391,1576
"African Journal Of Range & Forage Science",0.0276243093922652,0.0331491712707182,0.0220994475138122,0.0497237569060773,181
"African Journal Of Wildlife Research",0,0.137026239067055,0.00291545189504373,0.0087463556851312,343
"Agriculture Ecosystems & Environment",0.0176056338028169,0.0691021126760563,0.0380721830985915,0.00616197183098592,4544
"Amazoniana Limnologia Et Oecologia Regionalis Systemae Fluminis Amazonas",0,0,0,0.00625,160
"American Midland Naturalist",0.0124879923150817,0.015850144092219,0.00048030739673391,0.0235350624399616,2082
"American Naturalist",0.000731885825811174,0.0161014881678458,0.0117101732129788,0.0273237374969505,4099
"Animal Conservation",0.0218009478672986,0.312796208530806,0.0208530805687204,0.0502369668246445,1055
"Annales Zoologici Fennici",0.00126103404791929,0.0151324085750315,0.00378310214375788,0.0163934426229508,793
"Annual Review Of Ecology Evolution And Systematics",0.00928792569659443,0.0835913312693498,0.0123839009287926,0.0402476780185759,323
"Applied Ecology And Environmental Research",0.0207612456747405,0.0605536332179931,0.0951557093425606,0.0328719723183391,578
"Applied Vegetation Science",0.275985663082437,0.120669056152927,0.029868578255675,0.0931899641577061,837
"Aquatic Ecology",0.0174418604651163,0.0130813953488372,0.0247093023255814,0.0697674418604651,688
"Aquatic Ecosystem Health & Management",0.0325732899022801,0.0618892508143322,0.0293159609120521,0.0293159609120521,307
"Aquatic Invasions",0.00481927710843374,0.0192771084337349,0.0144578313253012,0.67710843373494,415
"Aquatic Microbial Ecology",0.000570450656018254,0,0.00513405590416429,0,1753
"Arthropod Plant Interactions",0.00205338809034908,0.0123203285420945,0.0123203285420945,0.0513347022587269,487
"Austral Ecology",0.0197768762677485,0.0532454361054767,0.0304259634888438,0.0801217038539554,1972
"Avian Conservation And Ecology",0,0.146341463414634,0.024390243902439,0.00813008130081301,123
"Basic And Applied Ecology",0.0443213296398892,0.0701754385964912,0.0249307479224377,0.0683287165281625,1083
"Behavioral Ecology",0,0.0053603335318642,0.00238237045860631,0.00952948183442525,3358
"Behavioral Ecology And Sociobiology",0,0.00268817204301075,0.00268817204301075,0.00439882697947214,4092
"Biochemical Systematics And Ecology",0.000938086303939962,0.0403377110694184,0.000938086303939962,0.00813008130081301,3198
"Biodiversity And Conservation",0.0333778371161549,0.406408544726302,0.0277703604806409,0.0395193591455274,3745
"Biogeosciences",0.00317643661565117,0.00115506786023679,0.0112619116373087,0.00144383482529599,3463
"Biological Conservation",0.0511489992587102,0.393328391401038,0.0320237212750185,0.0511489992587102,6745
"Biological Invasions",0.0194250194250194,0.027972027972028,0.0236985236985237,0.818570318570319,2574
"Biology Letters",0.00202347227842979,0.0226628895184136,0.0433023067583974,0.0234722784297855,2471
"Biotropica",0.0191169776968594,0.0682749203459263,0.0145653163404643,0.0241238051888939,2197
"Bmc Ecology",0.00934579439252336,0.0373831775700935,0.0607476635514019,0.0841121495327103,214
"Bosque",0.059016393442623,0.0721311475409836,0.019672131147541,0.0426229508196721,305
"Bulletin Of The Peabody Museum Of Natural History",0,0.025,0.0125,0.0375,80
"Canadian Field Naturalist",0.00382555470543229,0.026778882938026,0.00765110941086458,0.0206579954093344,1307
"Chemistry And Ecology",0.00496688741721854,0.00662251655629139,0.00827814569536424,0.00496688741721854,604
"Chemoecology",0,0.00359712230215827,0,0.026978417266187,556
"Colonial Waterbirds",0.0066006600660066,0.0462046204620462,0,0,303
"Community Ecology",0.0184615384615385,0.0707692307692308,0.0215384615384615,0.0430769230769231,325
"Compost Science & Utilization",0.00348432055749129,0.00174216027874564,0,0.00348432055749129,574
"Conservation Biology",0.0264563106796117,0.34368932038835,0.0288834951456311,0.0434466019417476,4120
"Conservation Physiology",0.00518134715025907,0.181347150259067,0.113989637305699,0.0829015544041451,193
"Contemporary Problems Of Ecology",0.00211416490486258,0.00422832980972516,0.0211416490486258,0.0169133192389006,473
"Current Opinion In Insect Science",0.00383141762452107,0.0153256704980843,0.0383141762452107,0.00383141762452107,261
"Diversity And Distributions",0.0111888111888112,0.262237762237762,0.0993006993006993,0.325174825174825,1430
"Ecography",0.00271616115889543,0.0181077410593029,0.0226346763241286,0.0289723856948846,2209
"Ecohealth",0.00386100386100386,0.0656370656370656,0.0579150579150579,0.0308880308880309,518
"Ecohydrology",0.0462724935732648,0.0115681233933162,0.0848329048843188,0.019280205655527,778
"Ecological Applications",0.0723294723294723,0.117889317889318,0.0607464607464607,0.0821106821106821,3885
"Ecological Complexity",0.00573613766730402,0.0325047801147228,0.0344168260038241,0.0286806883365201,523
"Ecological Economics",0.0110967741935484,0.0781935483870968,0.0544516129032258,0.0147096774193548,3875
"Ecological Engineering",0.158584534731324,0.0243774574049803,0.0149410222804718,0.0144167758846658,3815
"Ecological Informatics",0.0100143061516452,0.0400572246065808,0.0429184549356223,0.0343347639484979,699
"Ecological Management & Restoration",0.362637362637363,0.120879120879121,0.021978021978022,0.0659340659340659,91
"Ecological Modelling",0.00966183574879227,0.0226553389971681,0.0416458437447943,0.0196568382475429,6003
"Ecological Monographs",0.00547945205479452,0.0232876712328767,0.0753424657534247,0.0397260273972603,730
"Ecological Research",0.0111167256189995,0.0252652854977261,0.0197069226882264,0.0293077311773623,1979
"Ecology",0.00557717250324254,0.0164721141374838,0.0368352788586252,0.0546044098573281,7710
"Ecology And Evolution",0.00891677675033025,0.0653896961690885,0.0743064729194188,0.0673712021136063,3028
"Ecology And Society",0.0422794117647059,0.142463235294118,0.0974264705882353,0.0119485294117647,1088
"Ecology Letters",0.00929668552950687,0.0586095392077607,0.0683104284559418,0.0792239288601455,2474
"Eco Mont Journal On Protected Mountain Areas Research",0.0294117647058824,0.156862745098039,0.0392156862745098,0.00980392156862745,102
"Ecoscience",0.0202391904323827,0.0211591536338546,0.031278748850046,0.0404783808647654,1087
"Ecosphere",0.0458542713567839,0.0665829145728643,0.134422110552764,0.0829145728643216,1592
"Ecosystems",0.0316377171215881,0.0124069478908189,0.097394540942928,0.0397022332506203,1612
"Ecosystem Services",0.0344827586206897,0.123732251521298,0.0283975659229209,0.00202839756592292,493
"Ecotoxicology",0.00580474934036939,0.00316622691292876,0.00474934036939314,0.00474934036939314,1895
"Ekologia Bratislava",0.00294985250737463,0.00884955752212389,0.00884955752212389,0.00294985250737463,339
"Ekoloji",0.0065359477124183,0.0228758169934641,0,0,306
"Environmental Biology Of Fishes",0.00546634779637854,0.0433891356337547,0.00512470105910489,0.0174239836009566,2927
"European Journal Of Soil Biology",0.0139442231075697,0.00796812749003984,0.0099601593625498,0.00896414342629482,1004
"European Journal Of Wildlife Research",0.00181818181818182,0.101818181818182,0.00272727272727273,0.0572727272727273,1100
"Evolution",0.000949066751028156,0.0112306232204998,0.00601075608984499,0.00885795634292945,6322
"Evolutionary Ecology",0,0.0131944444444444,0.00902777777777778,0.0201388888888889,1440
"Evolutionary Ecology Research",0.00167644593461861,0.0176026823134954,0.0176026823134954,0.0335289186923722,1193
"Fire Ecology",0.106918238993711,0.0188679245283019,0.0251572327044025,0.0377358490566038,159
"Flora",0.0105750165234633,0.0290812954395241,0.0132187706543291,0.0330469266358229,1513
"Freshwater Biology",0.0263157894736842,0.0175438596491228,0.087719298245614,0.0789473684210526,114
"Freshwater Science",0.023489932885906,0.0313199105145414,0.023489932885906,0.0313199105145414,1788
"Frontiers In Ecology And The Environment",0.024416135881104,0.0753715498938429,0.0307855626326964,0.0509554140127389,942
"Functional Ecology",0.00272562083585706,0.0130224106602059,0.0378558449424591,0.0242277407631738,3302
"Fungal Ecology",0.00175746924428822,0.0527240773286467,0.0281195079086116,0.0263620386643234,569
"Global Change Biology",0.00367478180983004,0.0229673863114378,0.358291226458429,0.0245751033532384,4354
"Global Ecology And Biogeography",0.00383386581469649,0.0843450479233227,0.127156549520767,0.0619808306709265,1565
"Heredity",0.00260945201507683,0.0289939112786315,0.00173963467671789,0.0127573209625979,3449
"Human Wildlife Interactions",0.0116279069767442,0.0930232558139535,0,0,86
"Interciencia",0.00760456273764259,0.0418250950570342,0.00456273764258555,0.00456273764258555,1315
"International Journal Of Sustainable Development And World Ecology",0.0131736526946108,0.0862275449101796,0.0491017964071856,0.00119760479041916,835
"Isme Journal",0.0010989010989011,0.00934065934065934,0.00824175824175824,0.0104395604395604,1820
"Israel Journal Of Ecology & Evolution",0.0216450216450216,0.0909090909090909,0.0173160173160173,0.0476190476190476,231
"Journal For Nature Conservation",0.0686274509803922,0.547058823529412,0.0254901960784314,0.0549019607843137,510
"Journal Of Animal Ecology",0.00266400266400266,0.01998001998002,0.0382950382950383,0.01998001998002,3003
"Journal Of Applied Ecology",0.0982435248585889,0.165525454004168,0.0342363798749628,0.0833581423042572,3359
"Journal Of Arid Environments",0.0324189526184539,0.0387919091160986,0.0313106123579939,0.028539761706844,3609
"Journal Of Biogeography",0.00225861095426313,0.0796160361377753,0.0686053077357425,0.0383963862224732,3542
